frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code,anomaly
1762618221.121396000,172.17.17.104,224.0.0.251,110,,59177.0,17,0.001293000,,96,,,,,False,,1,,,,-1
1762618221.121396000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618221.121396000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618221.323884000,172.17.23.136,224.0.0.252,75,,59091.0,17,0.000180000,,61,,,,,False,,1,,,,-1
1762618221.324433000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618221.324640000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000207000,,68,,,,,False,,128,,,,-1
1762618221.802383000,172.17.19.207,204.79.197.254,55,52091.0,,6,0.477743000,0x0010,41,,10,1,1,True,252,128,,,,-1
1762618221.835021000,172.17.23.136,224.0.0.252,75,,59091.0,17,0.000000000,,61,,,,,False,,1,,,,-1
1762618221.836112000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.001091000,,68,,,,,False,,128,,,,-1
1762618221.836185000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000073000,,68,,,,,False,,128,,,,-1
1762618221.837478000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618221.837478000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618221.896672000,172.17.19.207,150.171.28.254,55,64218.0,,6,0.059194000,0x0010,41,,11,1,1,True,252,128,,,,-1
1762618222.038312000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000080000,,68,,,,,False,,128,,,,-1
1762618222.038426000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000114000,,68,,,,,False,,128,,,,-1
1762618222.040039000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000355000,,68,,,,,False,,128,,,,-1
1762618222.040089000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000050000,,68,,,,,False,,128,,,,-1
1762618222.072363000,172.17.19.207,13.107.253.58,55,59892.0,,6,0.030223000,0x0010,41,,12,1,1,True,251,128,,,,-1
1762618222.076492000,172.17.19.207,13.107.253.58,54,59892.0,,6,0.000057000,0x0010,40,,12,2,33,True,251,128,,,,-1
1762618222.124889000,172.17.19.207,142.251.221.164,71,,60621.0,17,0.041624000,,57,,,,,True,,128,,,,-1
1762618222.166994000,172.17.19.207,104.26.0.211,709,,54247.0,17,0.008483000,,695,,,,,True,,128,,,,-1
1762618222.180534000,172.17.19.207,204.79.197.222,55,58244.0,,6,0.007395000,0x0010,41,,13,1,1,True,255,128,,,,-1
1762618222.244212000,172.17.23.136,224.0.0.252,75,,55558.0,17,0.000000000,,61,,,,,False,,1,,,,-1
1762618222.245360000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618222.245360000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618222.246270000,172.17.16.182,239.255.255.250,179,,64226.0,17,0.000000000,,165,,,,,False,,4,,*,,-1
1762618222.362101000,172.17.19.207,192.34.20.166,376,59282.0,,6,0.015736000,0x0018,362,,1,745,6053,True,250,128,,,,-1
